Scenario Id,RequestName,Endpoint,"Request Method,",Payload,ExpectedStatus,ExpectedResponseKeys,InvalidInput
PC_SC_01,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""Artificial Intelligence"",
""programName"": ""Phaseonelms"",
""programStatus"": ""Active""
}",201,"{
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""Artificial Intelligence"",
    ""programStatus"": ""Active""
}",
PC_SC_02,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""Artificial Intelligence"",
""programName"": ""Phaseonelms"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""cannot create program , since already exists"",
    ""success"": false
}",
PC_SC_03,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon001"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_04,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test123"",
""programName"": ""PostmanHackthonTwoandferty"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_05,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test123"",
""programName"": ""Po"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_06,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test123"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name is mandatory"",
    ""success"": false
}",
PC_SC_07,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test123"",
""programName"": ""Point""
}",400,"{
    ""message"": ""Invalid Status: must be Active or Inactive"",
    ""success"": false
}",
PC_SC_08,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API testing Test123""
}",400,"{
    ""message"": ""Program Name is mandatory"",
    ""success"": false
}",
PC_SC_09,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API"",
""programName"": ""Point"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Description must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_10,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API asdertgfvb rtyghbngt dfg"",
""programName"": ""Point"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Description must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_11,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API asder#$%^&"",
""programName"": ""Point"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programDescription must begin with letter and can only have letters, numbers, comma, hyphen, colon, period, underscore and space"",
    ""success"": false
}",
PC_SC_12,Create Program,{{baseURL}/lms/saveprogram,POST,"{
""programDescription"": ""API Testing"",
""programName"": ""Point@#$%^"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_13,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""This is First Update"",
""programName"": ""Phaseonelms"",
""programStatus"": ""Active""
}",200,"{
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""This is First Update"",
    ""programStatus"": ""Active""
}",
PC_SC_14,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon001"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_15,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test123"",
""programName"": ""PostmanHackthonTwoandferty"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_16,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test123"",
""programName"": ""Po"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
